Gene,Weight
1559612_at,0.19792345478085813
1569760_at,0.19085860515397512
209006_s_at,0.1892550099558137
226663_at,0.17830732392991758
216834_at,0.16731133748505458
239251_at,0.16385539362025836
202803_s_at,0.15857257073451933
209201_x_at,0.15116434793266523
204174_at,0.15071683970899252
37892_at,0.14780344630006942
232396_at,0.12275231137476231
240452_at,0.11747992241728929
204122_at,0.11703828180106597
234032_at,0.11480023895956792
1557580_at,0.1133017078497478
213975_s_at,0.09381475882924901
1554759_at,0.09073436659575473
239243_at,0.06390850797847958
230332_at,0.05727578618711637
225353_s_at,0.05331187201931937
232312_at,0.0449520950018425
1556007_s_at,0.03599706482316503
239453_at,0.03238560209563728
217591_at,0.027990544378766642
235138_at,0.02690041226351485
240093_x_at,0.02193635195377568
244801_at,0.018605909088775335
243827_at,0.010961068000570954
238449_at,0.009306820963621485
238611_at,0.0036178920650205906
1555778_a_at,0.002293241480378086
201721_s_at,0.00227026729552763
1557543_at,1.7695940547477273e-05
1553462_at,0.0
1553261_x_at,0.0
1553199_at,0.0
1552975_x_at,0.0
1552974_at,0.0
1552622_s_at,0.0
1552325_at,0.0
1560940_at,0.0
1560885_x_at,0.0
1560884_at,0.0
1561110_at,0.0
1561854_at,0.0
1561177_at,0.0
1561564_at,0.0
1561644_x_at,0.0
1553868_a_at,0.0
1555349_a_at,0.0
1554899_s_at,0.0
1554301_at,0.0
1555435_at,0.0
1554920_at,0.0
1554142_at,0.0
1554131_at,0.0
1556338_at,0.0
1557804_at,0.0
1558922_at,0.0
1558893_a_at,0.0
1559401_a_at,0.0
1559492_at,0.0
1559500_at,0.0
1559545_at,0.0
1559722_at,0.0
1559956_at,0.0
1560202_at,0.0
1560342_at,0.0
1560540_x_at,0.0
1555757_at,0.0
1556944_at,0.0
1554133_at,0.0
203561_at,0.0
203416_at,0.0
202404_s_at,0.0
202311_s_at,0.0
201720_s_at,0.0
202220_at,0.0
1569527_at,0.0
1570345_at,0.0
1569128_at,0.0
1569178_at,0.0
1569320_at,0.0
1569262_x_at,0.0
1568926_x_at,0.0
1567250_at,0.0
1567628_at,0.0
1568925_at,0.0
1562607_at,0.0
1562431_x_at,0.0
1562076_at,0.0
1566749_at,0.0
1565886_at,0.0
1563465_at,0.0
1563055_at,0.0
1562876_s_at,0.0
212354_at,0.0
212464_s_at,0.0
208894_at,0.0
210717_at,0.0
210495_x_at,0.0
205941_s_at,0.0
203878_s_at,0.0
205114_s_at,0.0
229858_at,0.0
226930_at,0.0
228030_at,0.0
215392_at,0.0
214132_at,0.0
217428_s_at,0.0
216710_x_at,0.0
215646_s_at,0.0
222366_at,0.0
222018_at,0.0
222295_x_at,0.0
224101_x_at,0.0
223343_at,0.0
217067_s_at,0.0
218717_s_at,0.0
216950_s_at,0.0
230028_at,0.0
223501_at,0.0
212671_s_at,0.0
210982_s_at,0.0
211991_s_at,0.0
212344_at,0.0
212353_at,0.0
211919_s_at,0.0
214291_at,0.0
214833_at,0.0
215281_x_at,0.0
209057_x_at,0.0
210771_at,0.0
211571_s_at,0.0
210809_s_at,0.0
204320_at,0.0
241647_x_at,0.0
241545_x_at,0.0
241391_at,0.0
238812_at,0.0
237864_at,0.0
237937_x_at,0.0
238593_at,0.0
238634_x_at,0.0
239938_x_at,0.0
239811_at,0.0
223344_s_at,0.0
230599_at,0.0
227062_at,0.0
225681_at,0.0
232744_x_at,0.0
232066_x_at,0.0
238370_x_at,0.0
234989_at,0.0
234601_x_at,0.0
235959_at,0.0
237141_x_at,0.0
237456_at,0.0
237064_x_at,0.0
236397_at,0.0
233847_x_at,0.0
233595_at,0.0
233822_x_at,0.0
233810_x_at,0.0
234755_x_at,0.0
232963_at,0.0
233248_at,0.0
231956_at,0.0
243281_at,0.0
242910_x_at,0.0
243885_x_at,0.0
241769_at,0.0
242431_at,0.0
242440_at,0.0
242296_x_at,0.0
242107_x_at,0.0
244039_x_at,0.0
244010_at,0.0
239969_at,0.0
240594_at,0.0
240798_at,0.0
239274_at,0.0
238988_at,0.0
239238_at,0.0
244474_at,0.0
243993_at,0.0
244674_at,0.0
215750_at,-0.017315948357551222
223280_x_at,-0.020745103323528438
224356_x_at,-0.030555935579102106
209875_s_at,-0.03893566331440062
219058_x_at,-0.03913084915590705
235701_at,-0.06279409380151456
217052_x_at,-0.07507801537359213
232797_at,-0.10605947064078917
231205_at,-0.12371318386432245
207492_at,-0.13105677742082128
219980_at,-0.16389002418533502
204232_at,-0.2209495436851853
235847_at,-0.3368807476267191
